"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"VLM 高置信（0.9）但挑中与描述无关的元素 → L2≈0 → final=0.36 < 接受阈值 → 被拒。","1","test_visual_picks_wrong_element_gets_penalized","tests.unit","2026-09-03","passed","2026-09-03","","test_visual_consistency","",""
"","0","test_is_xdist_worker_false_for_plain_session","tests.unit","2026-09-03","passed","2026-09-03","","test_xdist_compat","",""
"","0","test_compact_dom_truncates_text","tests.unit","2026-09-03","passed","2026-09-03","","test_llm_io","",""
"","0","test_build_round_cmd_targets_variant","tests.unit","2026-09-03","passed","2026-09-03","","test_ab_compare","",""
"","0","test_summary_empty_records_is_legal","tests.unit","2026-09-03","passed","2026-09-03","","test_notify","",""
"#8：strategy_order 含未知策略名 → 记 warning，不静默跳过也不崩溃。","1","test_unknown_strategy_logs_warning","tests.unit","2026-09-03","passed","2026-09-03","","test_orchestrator_logic","",""
"场景 B：沉淀后页面再次改版使缓存 selector 失效 → 缓存验证拒绝 → 策略重修成功。","60492","test_stale_cache_retries_strategies","tests.e2e","2026-09-03","passed","2026-09-03","","test_knowledge_reuse","",""
"","0","test_use_fallback_when_uncertain","tests.unit","2026-09-03","passed","2026-09-03","","test_resolve_fallback","",""
"","0","test_confidence_out_of_range_rejected","tests.unit","2026-09-03","passed","2026-09-03","","test_semantic_llm","",""
"","1","test_payload_slack_text_and_success_style","tests.unit","2026-09-03","passed","2026-09-03","","test_notify","",""
"","0","test_factory_returns_ngram_when_enabled","tests.unit","2026-09-03","passed","2026-09-03","","test_embedding","",""
"#16/T9 既有行为：顶层未建模字段报错（execution/reporting 段不得出现）。","0","test_top_level_unknown_key_rejected","tests.unit","2026-09-03","passed","2026-09-03","","test_config_strict","",""
"","0","test_persist_without_embedding_context_leaves_optional_none","tests.unit","2026-09-03","passed","2026-09-03","","test_orchestrator_semantic","",""
"","0","test_empty_dom_returns_none","tests.unit","2026-09-03","passed","2026-09-03","","test_heuristic","",""
"","0","test_payload_dingtalk_and_wecom_markdown","tests.unit","2026-09-03","passed","2026-09-03","","test_notify","",""
"有原生解析结果（page 采集）→ 优先原生，不再走静态解析。","0","test_interactive_candidates_prefers_native","tests.unit","2026-09-03","passed","2026-09-03","","test_dom_native_check","",""
"","1","test_out_of_whitelist_returns_unknown","tests.unit","2026-09-03","passed","2026-09-03","","test_diagnose_llm","",""
"V5 复核：再次沉淀同一 (原,新,指纹) 不覆盖人工审核标记 is_verified。","5","test_add_repair_preserves_verified_on_upsert","tests.unit","2026-09-03","passed","2026-09-03","","test_knowledge_sqlite","",""
"所有策略键默认恒等（含边界 0/1 与精度），保证 T4 后行为零变化。","0","test_calibrate_identity_by_default","tests.unit","2026-09-03","passed","2026-09-03","","test_confidence_normalize","",""
"shrink 关闭时 semantic_llm 也恒等（默认行为不变）。","0","test_shrink_off_is_identity_for_semantic_llm","tests.unit","2026-09-03","passed","2026-09-03","","test_confidence_normalize","",""
"审查 C3：版本号含维度，改 dim 后新旧向量不同版本（防 L3 维度崩溃）。","0","test_embedding_version_includes_dim","tests.unit","2026-09-03","passed","2026-09-03","","test_embedding","",""
"缓存的新选择器仍在页面 → 复用（strategy=knowledge）。","0","test_cache_validation_valid_reused","tests.unit","2026-09-03","passed","2026-09-03","","test_secondary_healing","",""
"","0","test_finalize_no_records_writes_nothing","tests.unit","2026-09-03","passed","2026-09-03","","test_xdist_compat","",""
"","1","test_lower_layers_do_not_import_agent[llm]","tests.unit","2026-09-03","passed","2026-09-03","","test_layering","",""
"","0","test_pr_body_has_checklist_and_table_row","tests.unit","2026-09-03","passed","2026-09-03","","test_propose_pr","",""
"","1","test_no_client_returns_none","tests.unit","2026-09-03","passed","2026-09-03","","test_visual_llm","",""
"静态缺失某候选（原生独有）→ 不一致。","0","test_cross_validate_detects_native_only","tests.unit","2026-09-03","passed","2026-09-03","","test_dom_native_check","",""
"","0","test_garbage_reply_returns_unknown","tests.unit","2026-09-03","passed","2026-09-03","","test_diagnose_llm","",""
"场景 A：第二次同场景操作直接复用知识缓存（strategy==""knowledge""）。","60512","test_knowledge_reuse_second_hit","tests.e2e","2026-09-03","passed","2026-09-03","","test_knowledge_reuse","",""
"全部策略异常 → best 为 None（不崩溃，走失败/人审路径）。","1","test_all_strategies_fail_returns_none","tests.unit","2026-09-03","passed","2026-09-03","","test_strategy_short_circuit","",""
"","1","test_commit_unknown_id_noop","tests.unit","2026-09-03","passed","2026-09-03","","test_persist_after_verify","",""
"页面无 on 方法 → 跳过监听，capture 仍正常（network_logs 空）。","0","test_network_listeners_absent_skipped","tests.unit","2026-09-03","passed","2026-09-03","","test_collector","",""
"两个连接交错写（冒烟级并发）：busy_timeout 下无 'database is locked'。","7","test_sqlite_two_connections_interleaved_writes","tests.unit","2026-09-03","passed","2026-09-03","","test_xdist_compat","",""
"","0","test_main_skips_when_no_proposals","tests.unit","2026-09-03","passed","2026-09-03","","test_propose_pr","",""
"VLM 选中正确元素（元素移动但文本/属性不变）→ L2 高 → 融合后仍高置信（不误伤）。","0","test_visual_picks_right_element_not_penalized","tests.unit","2026-09-03","passed","2026-09-03","","test_visual_consistency","",""
"跨页不误匹配：pg2 无候选 → 空。","5","test_semantic_cross_page_bucketed_sqlite","tests.unit","2026-09-03","passed","2026-09-03","","test_knowledge_semantic","",""
"","0","test_factory_registered","tests.unit","2026-09-03","passed","2026-09-03","","test_openai_client","",""
"","980","test_disabled_behaves_native","tests.e2e","2026-09-03","passed","2026-09-03","","test_healing_flow","",""
"审查 C3 回归：库中混入异维向量（旧库/手改）→ 跳过该行，不崩溃、不误命中。","7","test_semantic_dim_mismatch_skipped_not_crash","tests.unit","2026-09-03","passed","2026-09-03","","test_knowledge_semantic","",""
"","1","test_safe_close_none_and_plain_objects","tests.unit","2026-09-03","passed","2026-09-03","","test_review_hardening","",""
"原定位器修复后仍不存在 → 真自愈（verified=True）。","1","test_record_verified_true_when_original_still_broken","tests.unit","2026-09-03","passed","2026-09-03","","test_risk_metrics","",""
"SemanticStrategy 的 LLM 自报段：shrink 开关贯通到产出置信度。","1","test_semantic_llm_strategy_shrink_wired","tests.unit","2026-09-03","passed","2026-09-03","","test_confidence_normalize","",""
"V5 复核：Phase 5 A 前的旧库（缺语义化列）打开时自动补列，不炸、旧数据保留。","12","test_legacy_db_missing_columns_migrated","tests.unit","2026-09-03","passed","2026-09-03","","test_knowledge_sqlite","",""
"","4","test_factory_backend_selection","tests.unit","2026-09-03","passed","2026-09-03","","test_knowledge_sqlite","",""
"策略链全失败（无候选）→ LLM 深挖归因（诊断后置）。","1","test_strategy_failure_triggers_llm_diagnosis","tests.unit","2026-09-03","passed","2026-09-03","","test_diagnosis_reorder","",""
"","0","test_capture_no_page","tests.unit","2026-09-03","passed","2026-09-03","","test_collector","",""
"","0","test_excluded_url_skips_healing","tests.unit","2026-09-03","passed","2026-09-03","","test_risk_control","",""
"","0","test_metrics_verified_stats","tests.unit","2026-09-03","passed","2026-09-03","","test_risk_metrics","",""
"描述与元素文本/aria 强匹配 → L2 高分（元素""移动但属性不变""时同样高分，不误伤）。","0","test_score_selector_matches_intent","tests.unit","2026-09-03","passed","2026-09-03","","test_visual_consistency","",""
"","0","test_finalize_worker_writes_shard_only","tests.unit","2026-09-03","passed","2026-09-03","","test_xdist_compat","",""
"","5","test_sqlite_repair_roundtrip","tests.unit","2026-09-03","passed","2026-09-03","","test_knowledge_sqlite","",""
"","0","test_capture_full","tests.unit","2026-09-03","passed","2026-09-03","","test_collector","",""
"","1","test_payload_unknown_provider_raises","tests.unit","2026-09-03","passed","2026-09-03","","test_notify","",""
"策略链候选来源优先原生：真实场景下 heuristic 用原生候选正常产出修复。","261","test_heuristic_uses_native_candidates","tests.e2e","2026-09-03","passed","2026-09-03","","test_native_dom_e2e","",""
"审查 C4 回归：首个策略抛异常 → 不中断策略链，后续策略继续执行并可用。","0","test_strategy_exception_does_not_break_chain","tests.unit","2026-09-03","passed","2026-09-03","","test_strategy_short_circuit","",""
"","0","test_no_description_returns_none","tests.unit","2026-09-03","passed","2026-09-03","","test_semantic_llm","",""
"","0","test_exception_returns_none","tests.unit","2026-09-03","passed","2026-09-03","","test_visual_llm","",""
"","0","test_chain_hint_short_chain_not_truncated","tests.unit","2026-09-03","passed","2026-09-03","","test_chain_healing","",""
"","0","test_pr_body_empty_list_still_valid","tests.unit","2026-09-03","passed","2026-09-03","","test_propose_pr","",""
"","0","test_attach_json_disabled_without_allure","tests.unit","2026-09-03","passed","2026-09-03","","test_allure_bridge","",""
"","4","test_sqlite_popup_roundtrip","tests.unit","2026-09-03","passed","2026-09-03","","test_knowledge_sqlite","",""
"","0","test_dom_fingerprint_stable_and_distinct","tests.unit","2026-09-03","passed","2026-09-03","","test_knowledge_sqlite","",""
"","0","test_safe_fields","tests.unit","2026-09-03","passed","2026-09-03","","test_llm_io","",""
"#10：同 (原,新,指纹) 重复沉淀 → upsert 更新，不产生重复行。","5","test_add_repair_upsert_dedup","tests.unit","2026-09-03","passed","2026-09-03","","test_knowledge_sqlite","",""
"有候选但置信度不足：LLM 归因 + 写 fix-proposal 供人审。","0","test_below_threshold_candidate_emits_human_review_proposal","tests.unit","2026-09-03","passed","2026-09-03","","test_diagnosis_reorder","",""
"审查 M3：自建知识库（backend=memory）在 close 时关闭。","0","test_close_self_built_knowledge","tests.unit","2026-09-03","passed","2026-09-03","","test_orchestrator_logic","",""
"#11：SDK 异常（网络/鉴权）应归一化为 UnavailableError，而非原生异常穿透。","0","test_chat_normalizes_sdk_exception","tests.unit","2026-09-03","passed","2026-09-03","","test_openai_client","",""
"","0","test_extract_json_from_fence","tests.unit","2026-09-03","passed","2026-09-03","","test_llm_io","",""
"修复成功→沉淀→下次命中知识短路（strategy=knowledge），形成写→读闭环。","2","test_persist_then_reuse_closed_loop","tests.unit","2026-09-03","passed","2026-09-03","","test_persist_failure","",""
"高风险页豁免不是修复——审计记录 verified=False，不计入""真自愈""指标。","0","test_exemption_record_not_counted_as_verified","tests.unit","2026-09-03","passed","2026-09-03","","test_review_hardening","",""
"","0","test_semantic_empty_context_skips_l3","tests.unit","2026-09-03","passed","2026-09-03","","test_orchestrator_semantic","",""
"","1","test_build_rows_handles_missing_variant","tests.unit","2026-09-03","passed","2026-09-03","","test_ab_compare","",""
"录制中：capture() 产出真实落盘的现场 trace 文件。","284","test_inline_trace_saved_when_recording","tests.e2e","2026-09-03","passed","2026-09-03","","test_trace_inline_e2e","",""
"","1","test_main_creates_draft_pr","tests.unit","2026-09-03","passed","2026-09-03","","test_propose_pr","",""
"旧（>7天）且未 verified → 不采纳、写人审清单、返回 None（降级 L4）。","1","test_semantic_suggest_stale_unverified","tests.unit","2026-09-03","passed","2026-09-03","","test_orchestrator_semantic","",""
"深链（6 层 locator）重放全量：任何一环被跳过都会使 derived_ops 缺项。","0","test_deep_chain_replays_all_ops","tests.unit","2026-09-03","passed","2026-09-03","","test_chain_healing","",""
"","2","test_fix_proposal_written_on_heal","tests.unit","2026-09-03","passed","2026-09-03","","test_risk_metrics","",""
"","6","test_bump_hit_and_verified_sqlite","tests.unit","2026-09-03","passed","2026-09-03","","test_knowledge_semantic","",""
"","0","test_unregistered_provider_returns_none","tests.unit","2026-09-03","passed","2026-09-03","","test_llm_factory","",""
"","0","test_exception_returns_none","tests.unit","2026-09-03","passed","2026-09-03","","test_semantic_llm","",""
"真 skipped（非 xfail）不算""需人工修复""：只标注 —，不进 manual_fixes。","0","test_build_rows_distinguishes_real_skip_from_xfail","tests.unit","2026-09-03","passed","2026-09-03","","test_ab_compare","",""
"v2：tag_path 含 nth-of-type 索引，同路径兄弟键不同（防 L1 碰撞）。","0","test_repair_key_sibling_index_distinguishes","tests.unit","2026-09-03","passed","2026-09-03","","test_knowledge_semantic","",""
"","0","test_healing_config_defaults","tests.unit","2026-09-03","passed","2026-09-03","","test_orchestrator_logic","",""
"无 page（纯逻辑环境）→ 现场 trace 保持占位 None。","1","test_inline_trace_absent_without_page","tests.unit","2026-09-03","passed","2026-09-03","","test_collector","",""
"","0","test_chain_records_ops_and_leaf_target","tests.unit","2026-09-03","passed","2026-09-03","","test_chain_healing","",""
"配置示例文件必须始终通过严格校验（防文档与模型漂移）。","4","test_example_settings_yaml_loads","tests.unit","2026-09-03","passed","2026-09-03","","test_config_strict","",""
"","0","test_chat_raises_unavailable_when_openai_missing","tests.unit","2026-09-03","passed","2026-09-03","","test_openai_client","",""
"","0","test_repair_key_deterministic","tests.unit","2026-09-03","passed","2026-09-03","","test_knowledge_semantic","",""
"","0","test_write_environment_creates_properties","tests.unit","2026-09-03","passed","2026-09-03","","test_allure_bridge","",""
"","0","test_page_fingerprint_distinct","tests.unit","2026-09-03","passed","2026-09-03","","test_knowledge_semantic","",""
"场景 3：密码输入框 id 改版（#pass-field-old 失效）→ 自愈后 fill 成功。","30195","test_ab_s3_password_input[healing]","tests.e2e","2026-09-03","passed","2026-09-03","","test_ab_scenarios","",""
"","0","test_bump_hit_memory","tests.unit","2026-09-03","passed","2026-09-03","","test_knowledge_semantic","",""
"全部重试（含二次自愈）失败 → 不沉淀、无审计记录（未验证的修复不得入库）。","1","test_engine_all_retries_fail_no_commit","tests.unit","2026-09-03","passed","2026-09-03","","test_persist_after_verify","",""
"V4 复核：全局三阈值补 [0,1] 值域校验（负数=全采纳垃圾修复，>1=永不采纳）。","0","test_global_threshold_out_of_range_rejected","tests.unit","2026-09-03","passed","2026-09-03","","test_config_strict","",""
"启发式高置信（>=early_accept）命中 → 短路，不调 LLM/VLM。","1","test_short_circuit_skips_costly_strategies","tests.unit","2026-09-03","passed","2026-09-03","","test_strategy_short_circuit","",""
"","0","test_knowledge_first_miss","tests.unit","2026-09-03","passed","2026-09-03","","test_orchestrator_logic","",""
"","0","test_find_by_key_memory","tests.unit","2026-09-03","passed","2026-09-03","","test_knowledge_semantic","",""
"","0","test_no_client_returns_none","tests.unit","2026-09-03","passed","2026-09-03","","test_semantic_llm","",""
"","484","test_wait_until_stable_on_moving_element","tests.e2e","2026-09-03","passed","2026-09-03","","test_smart_wait_flow","",""
"","0","test_feature_no_matching_marker_returns_none","tests.unit","2026-09-03","passed","2026-09-03","","test_allure_bridge","",""
"","0","test_guard_rejects_fabricated_selector","tests.unit","2026-09-03","passed","2026-09-03","","test_visual_llm","",""
"原定位器修复后已恢复 → 失败是瞬时的（flaky，verified=False）。","0","test_record_verified_false_when_flaky","tests.unit","2026-09-03","passed","2026-09-03","","test_risk_metrics","",""
"开启后：既有自愈流程（失效定位器→自愈→重试）不受前置等待影响，照常跑通。","36029","test_action_wait_does_not_break_healing_flow","tests.e2e","2026-09-03","passed","2026-09-03","","test_smart_wait_flow","",""
"关闭时 click 直通原生动作，无任何前置等待调用。","1","test_wait_skipped_when_disabled","tests.unit","2026-09-03","passed","2026-09-03","","test_action_wait","",""
"","0","test_send_posts_json_and_returns_true","tests.unit","2026-09-03","passed","2026-09-03","","test_notify","",""
"","6","test_semantic_version_filter","tests.unit","2026-09-03","passed","2026-09-03","","test_knowledge_semantic","",""
"dry_run 时不""应用""缓存修复（跳过知识早返回），仍产出建议供人审。","1","test_dry_run_skips_knowledge_early_return","tests.unit","2026-09-03","passed","2026-09-03","","test_risk_control","",""
"heuristic 产出经统一标尺出口：恒等，规则分数原样保留（0.95 强信号）。","0","test_heuristic_strategy_identity_wired","tests.unit","2026-09-03","passed","2026-09-03","","test_confidence_normalize","",""
"","0","test_is_close_hint_matches_keywords","tests.unit","2026-09-03","passed","2026-09-03","","test_popup_guard","",""
"","51","test_stable_returns","tests.unit","2026-09-03","passed","2026-09-03","","test_smart_wait","",""
"","0","test_cleanup_shards_removes_all","tests.unit","2026-09-03","passed","2026-09-03","","test_xdist_compat","",""
"","0","test_llm_diagnose_threshold_must_exceed_confidence","tests.unit","2026-09-03","passed","2026-09-03","","test_diagnosis_reorder","",""
"","0","test_no_interactive_candidate_returns_none","tests.unit","2026-09-03","passed","2026-09-03","","test_heuristic","",""
"","0","test_stable_selector_id_fallback","tests.unit","2026-09-03","passed","2026-09-03","","test_popup_guard","",""
"无原生结果（如无 page 的纯逻辑路径）→ 回退静态 DOM 快照解析。","0","test_interactive_candidates_falls_back_to_static","tests.unit","2026-09-03","passed","2026-09-03","","test_dom_native_check","",""
"run() 成功仅暂存（不落库）；commit_pending 才真正沉淀；重复提交幂等。","1","test_run_stages_then_commit_persists","tests.unit","2026-09-03","passed","2026-09-03","","test_persist_after_verify","",""
"","0","test_payload_generic_keeps_structured_summary","tests.unit","2026-09-03","passed","2026-09-03","","test_notify","",""
"显式自闭合（<input .../>）与无斜杠形式行为一致。","0","test_void_element_self_closing_same_behavior","tests.unit","2026-09-03","passed","2026-09-03","","test_dom_parser","",""
"","0","test_reporter_cost_summary","tests.unit","2026-09-03","passed","2026-09-03","","test_risk_metrics","",""
"无文本无 id → aria-label 兜底。","0","test_stable_selector_aria_fallback","tests.unit","2026-09-03","passed","2026-09-03","","test_popup_guard","",""
"","1","test_missing_key_returns_none","tests.unit","2026-09-03","passed","2026-09-03","","test_llm_factory","",""
"","0","test_excluded_url_no_knowledge_mutation","tests.unit","2026-09-03","passed","2026-09-03","","test_risk_control","",""
"无 description/fallback → 等价原生调用（基座兼容原生 Page）。","0","test_locator_passthrough_native","tests.unit","2026-09-03","passed","2026-09-03","","test_base_page","",""
"","1","test_main_sends_with_missing_summary_file","tests.unit","2026-09-03","passed","2026-09-03","","test_notify","",""
"selector 不在 DOM → 0.0（保守拒绝）。","0","test_score_selector_missing_element_zero","tests.unit","2026-09-03","passed","2026-09-03","","test_visual_consistency","",""
"无描述时，原选择器词元与 data-testid 完全重叠 → 命中。","0","test_heal_by_token_match_without_description","tests.unit","2026-09-03","passed","2026-09-03","","test_heuristic","",""
"注入的资源（owns=False）归注入方关闭，构造失败也不代关。","0","test_init_failure_keeps_injected_resources","tests.unit","2026-09-03","passed","2026-09-03","","test_review_hardening","",""
"前置等待失败（元素不可测/不存在）→ 仅记日志，动作照常执行（不变成新超时源）。","2004","test_wait_failure_does_not_block_action","tests.unit","2026-09-03","passed","2026-09-03","","test_action_wait","",""
"","1","test_parse_junit_classifies_results","tests.unit","2026-09-03","passed","2026-09-03","","test_ab_compare","",""
"","0","test_summary_includes_cost_when_given","tests.unit","2026-09-03","passed","2026-09-03","","test_notify","",""
"","0","test_apply_dynamic_labels_no_marker_no_call","tests.unit","2026-09-03","passed","2026-09-03","","test_allure_bridge","",""
"描述与元素意图偏离 → L2 低分（VLM 挑错区域的信号）。","0","test_score_selector_mismatch_low","tests.unit","2026-09-03","passed","2026-09-03","","test_visual_consistency","",""
"纯文本""关闭""按钮（无 testid/id）→ 生成 text= 定位器（修复前返回 None、无法沉淀）。","0","test_stable_selector_text_button","tests.unit","2026-09-03","passed","2026-09-03","","test_popup_guard","",""
"","0","test_lookup_l1_hit_bumps_hit_count","tests.unit","2026-09-03","passed","2026-09-03","","test_orchestrator_semantic","",""
"","110","test_high_confidence_success_skips_llm_diagnosis","tests.unit","2026-09-03","passed","2026-09-03","","test_diagnosis_reorder","",""
"","0","test_is_close_hint_excludes_cancel","tests.unit","2026-09-03","passed","2026-09-03","","test_popup_guard","",""
"同阈值且无备用定位器 → 自愈被策略阈值拦截，抛 HealingFailedError（硬性路由）。","1062","test_threshold_blocks_healing_without_fallback","tests.e2e","2026-09-03","passed","2026-09-03","","test_strategy_threshold_e2e","",""
"data-testid 优先于文本。","0","test_stable_selector_testid_preferred","tests.unit","2026-09-03","passed","2026-09-03","","test_popup_guard","",""
"","1","test_attach_file_requires_existing_file","tests.unit","2026-09-03","passed","2026-09-03","","test_allure_bridge","",""
"","0","test_attach_json_serializes_chinese","tests.unit","2026-09-03","passed","2026-09-03","","test_allure_bridge","",""
"缓存的新选择器已不在页面 → 视为失效，不复用。","0","test_cache_validation_stale_not_used","tests.unit","2026-09-03","passed","2026-09-03","","test_secondary_healing","",""
"","0","test_dry_run_failure_report_includes_proposal","tests.unit","2026-09-03","passed","2026-09-03","","test_risk_control","",""
"V4 复核：dim 非正整数在加载期拒绝（0 → NgramEmbedding 取模除零，负数 → 负索引错向量）。","0","test_embedding_dim_must_be_positive","tests.unit","2026-09-03","passed","2026-09-03","","test_config_strict","",""
"","1","test_render_markdown_appends_cost_when_present","tests.unit","2026-09-03","passed","2026-09-03","","test_ab_compare","",""
"#10：读出的置信度越界（>1）按未命中处理，防脏数据进入复用。","1","test_lookup_rejects_out_of_range_confidence","tests.unit","2026-09-03","passed","2026-09-03","","test_secondary_healing","",""
"审查 M3：close 只关闭自建资源；注入的 knowledge / llm / vision 由注入方负责。","1","test_close_owns_only_self_built_resources","tests.unit","2026-09-03","passed","2026-09-03","","test_orchestrator_logic","",""
"","5","test_find_repair_prefers_matching_fingerprint","tests.unit","2026-09-03","passed","2026-09-03","","test_knowledge_sqlite","",""
"","0","test_lower_layers_do_not_import_agent[knowledge]","tests.unit","2026-09-03","passed","2026-09-03","","test_layering","",""
"","0","test_chain_derivation_does_not_pollute_shared_chain","tests.unit","2026-09-03","passed","2026-09-03","","test_chain_healing","",""
"","0","test_build_rows_aligns_variants_and_judges_value","tests.unit","2026-09-03","passed","2026-09-03","","test_ab_compare","",""
"","0","test_to_vector_roundtrip","tests.unit","2026-09-03","passed","2026-09-03","","test_embedding","",""
"描述与候选 aria-label 互为子串 → 高置信度命中 data-testid。","0","test_heal_by_description_containment","tests.unit","2026-09-03","passed","2026-09-03","","test_heuristic","",""
"","0","test_factory_disabled_returns_none","tests.unit","2026-09-03","passed","2026-09-03","","test_embedding","",""
"","1","test_send_swallows_network_error","tests.unit","2026-09-03","passed","2026-09-03","","test_notify","",""
"未知策略键按恒等防御（新策略忘登记不改变行为）。","0","test_calibrate_unknown_key_identity","tests.unit","2026-09-03","passed","2026-09-03","","test_confidence_normalize","",""
"无稳定定位器的元素（无 testid/id/text/aria）不参与对齐。","0","test_cross_validate_ignores_unstable_elements","tests.unit","2026-09-03","passed","2026-09-03","","test_dom_native_check","",""
"","5","test_semantic_threshold","tests.unit","2026-09-03","passed","2026-09-03","","test_knowledge_semantic","",""
"启发式无强信号（<early_accept）→ 仍尝试 semantic（LLM 被调用）。","0","test_no_short_circuit_when_below_threshold","tests.unit","2026-09-03","passed","2026-09-03","","test_strategy_short_circuit","",""
"未录制（stop 抛 ""Must start tracing before stopping""）→ 不擅自启动录制，返回 None。","0","test_inline_trace_none_when_not_recording","tests.unit","2026-09-03","passed","2026-09-03","","test_collector","",""
"","0","test_frame_locator_and_scalar_passthrough","tests.unit","2026-09-03","passed","2026-09-03","","test_chain_healing","",""
"","0","test_uses_healed_selector","tests.unit","2026-09-03","passed","2026-09-03","","test_resolve_fallback","",""
"","1","test_capture_screenshot_fails_still_gets_dom","tests.unit","2026-09-03","passed","2026-09-03","","test_collector","",""
"","0","test_main_skips_without_webhook_url","tests.unit","2026-09-03","passed","2026-09-03","","test_notify","",""
"有 description/fallback → 透传给 HealingPage 增强参数。","0","test_locator_passes_healing_kwargs","tests.unit","2026-09-03","passed","2026-09-03","","test_base_page","",""
"","0","test_render_escapes_html","tests.unit","2026-09-03","passed","2026-09-03","","test_dashboard","",""
"","3196","test_popup_auto_dismiss_then_action","tests.e2e","2026-09-03","passed","2026-09-03","","test_popup_flow","",""
"同 selector 不同 URL → 不误用旧上下文（SPA 多页面流程）。","1","test_failure_context_cache_keyed_by_url","tests.unit","2026-09-03","passed","2026-09-03","","test_orchestrator_semantic","",""
